Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
475,LICEUM OGÓLNOKSZTAŁCĄCE IM. SALVADORA DALEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Bobrowiecka,9,,00-728,21.04580079777431,52.20101459999999,niepubliczna,157.0,,,
476,SZKOŁA PODSTAWOWA NR 107 IM. BRONISŁAWA MALINOWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Nowoursynowska,210/212,,02-766,21.03900896617821,52.1735439,publiczna,351.0,,,
478,NIEPUBLICZNE DWUJĘZYCZNE PRZEDSZKOLE KIDS&CO,Przedszkole,Unused,Unclassified,Mokotów,ul. Domaniewska,48,,02-672,20.997151195384184,52.18380475,niepubliczna,25.0,,,
479,"PRZEDSZKOLE NIEPUBLICZNE ""AMO KWIATOWA",Przedszkole,Unused,Unclassified,Mokotów,ul. Kwiatowa,28,2,02-539,21.01204793511134,52.2048863,niepubliczna,19.0,,,
480,"NIEPUBLICZNE PRZEDSZKOLE Z ODDZIAŁEM INTEGRACYJNYM ""KRAINA EMOCJI"" O PROFILU INTELIGENCJI EMOCJONALNEJ",Przedszkole,Unused,Unclassified,Mokotów,ul. Warowna,3,1,02-654,20.98656135569034,52.19643795,niepubliczna,88.0,,,
481,"CLVI LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE ""PRZY ŁAZIENKACH KRÓLEWSKICH",Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Podchorążych,49/61,,00-722,21.040188873222267,52.20933370000001,publiczna,324.0,47.81875,79.35,58.1075
482,"FRANCUSKO-POLSKIE PRZEDSZKOLE NIEPUBLICZNE ""LA FONTAINE",Przedszkole,Unused,Unclassified,Mokotów,ul. Rolna,177,,02-729,21.0264865,52.17650310000001,niepubliczna,50.0,,,
483,PUNKT PRZEDSZKOLNY ÓSMY KRASNAL,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Różana,61,,02-569,21.01315145,52.2016361,niepubliczna,16.0,,,
485,PRZEDSZKOLE SPECJALNE NR 188,Przedszkole,Unused,Unclassified,Mokotów,ul. Kielecka,20,,02-550,21.00634477902331,52.2040857,publiczna,22.0,,,
486,XXXIV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MIGUELA DE CERVANTESA,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Zakrzewska,24A,,00-737,21.0406524,52.2048953,publiczna,613.0,178.90666666666667,206.235,189.18333333333337
487,SZKOŁA PODSTAWOWA INTEGRACYJNA NR 339 IM. RAOULA WALLENBERGA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. św. Bonifacego,10,,02-914,21.048578826772896,52.17719445,publiczna,344.0,,,
488,PRZEDSZKOLE NR 228,Przedszkole,Unused,Unclassified,Mokotów,ul. Marzanny,8,,02-649,21.004719636144344,52.19091485,publiczna,119.0,,,
489,LXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. TYTUSA CHAŁUBIŃSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Ludwika Narbutta,31,,02-536,21.01519013073917,52.2059154,publiczna,442.0,159.815,181.315,166.22799999999995
490,"NIEPUBLICZNY INTEGRACYJNY PUNKT PRZEDSZKOLNY ""BAŁABAJKA",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Akermańska,3,,02-760,21.0507477,52.1796383,niepubliczna,25.0,,,
492,LICEUM OGÓLNOKSZTAŁCĄCE NIEPUBLICZNE NR 6,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Jana Sebastiana Bacha,2,,02-743,21.032708300000003,52.1727325,niepubliczna,85.0,,,
493,SZKOŁA PODSTAWOWA SIÓSTR NAZARETANEK Z ODDZIAŁAMI DWUJĘZYCZNYMI,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Czerniakowska,137,,00-720,21.046966887254907,52.21041395,niepubliczna,238.0,,,
494,PIJARSKIE PRZEDSZKOLE W WARSZAWIE,Przedszkole,Unused,Unclassified,Mokotów,ul. Siekierkowska,7,,00-709,21.074600021860466,52.20905585,niepubliczna,112.0,,,
495,PRZEDSZKOLE NR 170,Przedszkole,Unused,Unclassified,Mokotów,ul. Mahatmy Gandhiego,16,,02-645,21.006060495972488,52.1941299,publiczna,92.0,,,
496,CENTRUM SZKOLENIOWE FRR,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Świeradowska,43,PVI,02-662,21.015676906988595,52.17763755,niepubliczna,,,,
